,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
41897|EZH2,2.164741571644404e-08,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
48948|SUZ12,2.265985024077008e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
39791|T,2.5581000342488136e-08,Mus musculus,T,tf,,,Testis,1.0
41581|AR,4.233971813600448e-08,Mus musculus,AR,tf,,Epithelium,Prostate,1.0
44006|H2AZ,4.28879152305579e-08,Mus musculus,H2AZ,predicted chromatin regulator,V6.5,Embryonic Stem Cell,Embryo,1.0
48329|SPI1,5.019283657488721e-08,Mus musculus,SPI1,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
39696|SUZ12,5.0718876317750546e-08,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
36201|SUZ12,5.355665767796056e-08,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
2903|SUZ12,6.129645390023196e-08,Mus musculus,SUZ12,cr,V6.5,Embryonic Stem Cell,Embryo,1.0
48943|SUZ12,6.730910512968716e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
47291|FEZF2,7.64216772890101e-08,Mus musculus,FEZF2,tf,,Neurosphere,,1.0
57890|SUZ12,8.139552817878447e-08,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
41903|SUZ12,8.425328786142935e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
58796|SUZ12,9.659575471812766e-08,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
40272|FOXA2,1.0089826304893404e-07,Mus musculus,FOXA2,tf,,,Pancreas,1.0
53111|TCF12,1.0775096304556616e-07,Mus musculus,TCF12,tf,,Embryonic Stem Cell,Embryo,1.0
457|TET1,1.1730205377707028e-07,Mus musculus,TET1,cr,E14,Embryonic Stem Cell,Embryo,1.0
37751|H2AZ,1.24251797226229e-07,Mus musculus,H2AZ,predicted chromatin regulator,R1,Embryonic Stem Cell,Embryo,1.0
34027|KDM2B,1.3323961631281012e-07,Mus musculus,KDM2B,cr,,Embryonic Stem Cell,Embryo,1.0
4404|JARID2,1.4026074725075433e-07,Mus musculus,JARID2,cr,,Embryonic Stem Cell,Embryo,1.0
39698|SUZ12,1.5327632609885276e-07,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
59428|HEY1,1.6234637600642697e-07,Mus musculus,HEY1,tf,,Embryonic Stem Cell,Embryo,1.0
38475|CBX7,1.6760695315595535e-07,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0
43058|H2AZ,2.2116912189458395e-07,Mus musculus,H2AZ,predicted chromatin regulator,,Fibroblast,Embryo,1.0
2165|JARID2,2.2186828725751773e-07,Mus musculus,JARID2,cr,LF2,Embryonic Stem Cell,Embryo,1.0
48327|SPI1,2.302189434888655e-07,Mus musculus,SPI1,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
48945|SUZ12,2.3073781846478224e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
43057|H2AZ,2.60028765270041e-07,Mus musculus,H2AZ,predicted chromatin regulator,,Fibroblast,Embryo,1.0
4602|SUZ12,2.73529064789417e-07,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
53116|TCF12,2.924972249142993e-07,Mus musculus,TCF12,tf,,,Endoderm,1.0
9033|TET1,3.3120371379978415e-07,Mus musculus,TET1,cr,P19.6,,Embryo,1.0
52523|TFAP2C,3.8660626458573603e-07,Mus musculus,TFAP2C,predicted transcription factor,,,Mammary Gland,1.0
48947|SUZ12,4.198610040041456e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
8980|MEN1,4.3837194243443407e-07,Mus musculus,MEN1,tf,3.2N,Embryonic Stem Cell,Embryo,1.0
34887|KDM2B,4.63532457562314e-07,Mus musculus,KDM2B,cr,E14,Embryonic Stem Cell,Embryo,1.0
41580|AR,6.283557152269782e-07,Mus musculus,AR,tf,,Epithelium,Prostate,1.0
34917|KDM2B,6.769830912061413e-07,Mus musculus,KDM2B,cr,E14,Embryonic Stem Cell,Embryo,1.0
41316|KDM4C,7.876880646309843e-07,Mus musculus,KDM4C,cr,,Embryonic Stem Cell,Embryo,1.0
36202|SUZ12,1.2939771818983595e-06,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
35602|5HMC,1.472421242628222e-06,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0
41898|EZH2,1.521388947085076e-06,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
44342|KLF5,1.736958378545622e-06,Mus musculus,KLF5,tf,CGR8,Embryonic Stem Cell,Embryo,1.0
48944|SUZ12,1.884585399150829e-06,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
56133|RBFOX2,2.0256570438020903e-06,Mus musculus,RBFOX2,other,,,Heart,1.0
53170|DPPA2,2.099066078202181e-06,Mus musculus,DPPA2,predicted chromatin regulator,CGR8,Embryonic Stem Cell,Embryo,1.0
47760|KDM2B,2.1921527981429165e-06,Mus musculus,KDM2B,cr,MS12,Embryonic Stem Cell,Embryo,1.0
51021|JARID2,2.681394796640287e-06,Mus musculus,JARID2,cr,E14,Embryonic Stem Cell,Embryo,1.0
44217|SMARCA4,2.81626427174215e-06,Mus musculus,SMARCA4,cr,,Epithelium,Midbrain,1.0
434|TET1,3.294201946302737e-06,Mus musculus,TET1,cr,E14,Embryonic Stem Cell,Embryo,1.0
34039|NANOG,3.6026380353881813e-06,Mus musculus,NANOG,tf,,Embryonic Stem Cell,Embryo,1.0
34713|RNF2,5.655755456911852e-06,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
41582|AR,8.25232759635726e-06,Mus musculus,AR,tf,,Epithelium,Prostate,0.0
34922|RNF2,8.473578181262331e-06,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
44862|SMARCA4,1.0211842337036676e-05,Mus musculus,SMARCA4,cr,,Epithelium,Neural Tube,1.0
43660|UTF1,1.0255223487319072e-05,Mus musculus,UTF1,tf,KH2,Embryonic Stem Cell,Embryo,1.0
8910|NKX2-5,1.0378425503220167e-05,Mus musculus,NKX2-5,tf,,Myocyte,Heart,1.0
50683|RFX6,1.1337522863821226e-05,Mus musculus,RFX6,tf,MIN6B1,Beta cell,Pancreas,1.0
37758|H2AZ,1.1389810031346429e-05,Mus musculus,H2AZ,predicted chromatin regulator,R1,Embryonic Stem Cell,Embryo,1.0
41604|AR,1.673423676712396e-05,Mus musculus,AR,tf,,,Caput Epididymis,1.0
9487|H2AZ,1.889647178177033e-05,Mus musculus,H2AZ,predicted chromatin regulator,,Neural Progenitor Cell,Embryo,1.0
39131|nan,2.001482135812525e-05,,,,,,,
58294|NRF1,2.0104554036363417e-05,Mus musculus,NRF1,tf,,Embryonic Stem Cell,Embryo,1.0
36187|JARID2,2.0828534427638707e-05,Mus musculus,JARID2,cr,,Embryonic Stem Cell,Embryo,1.0
50967|SUZ12,2.3988245359517576e-05,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,,1.0
32786|BMI1,2.7832578932596487e-05,Mus musculus,BMI1,cr,,Glioma Initiating Cell,,1.0
36073|SUZ12,2.9285198576682795e-05,Mus musculus,SUZ12,cr,,Neural Progenitor Cell,,1.0
54539|EZH2,3.160515907914156e-05,Mus musculus,EZH2,cr,,Embryonic Stem Cell,,1.0
458|TET1,3.172041185637929e-05,Mus musculus,TET1,cr,E14,Embryonic Stem Cell,Embryo,1.0
38990|TBX3,3.236144678141093e-05,Mus musculus,TBX3,tf,,Epithelium,Heart,1.0
57234|EZH2,3.360724039354614e-05,Mus musculus,EZH2,cr,,Th2,Spleen,0.0
8304|KDM1A,3.37416289999368e-05,Mus musculus,KDM1A,cr,V6.5,Embryonic Stem Cell,Embryo,1.0
9080|EZH2,3.4421234231308626e-05,Mus musculus,EZH2,cr,TNGA,Embryonic Stem Cell,Embryo,1.0
50968|SUZ12,3.460881677160317e-05,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,,1.0
9078|SUZ12,3.51264894435625e-05,Mus musculus,SUZ12,cr,TNGA,Embryonic Stem Cell,Embryo,1.0
55425|NEUROD2,3.563858910042436e-05,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0
35901|H2AZ,3.851432294210537e-05,Mus musculus,H2AZ,predicted chromatin regulator,,B Lymphocyte,,1.0
34018|RNF2,5.002041372719512e-05,Mus musculus,RNF2,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
41583|AR,5.0394644263814185e-05,Mus musculus,AR,tf,,Epithelium,Prostate,0.0
44274|SREBF1,5.177121046382186e-05,Mus musculus,SREBF1,tf,,Epithelium,Liver,1.0
47765|RNF2,5.193655501878633e-05,Mus musculus,RNF2,predicted transcription factor,MS12,Embryonic Stem Cell,Embryo,1.0
58799|SUZ12,5.292040436175255e-05,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
52796|RXRA,5.6773714816992185e-05,Mus musculus,RXRA,tf,,Embryonic Stem Cell,Embryo,1.0
2907|NELFA,5.9015744583885274e-05,Mus musculus,NELFA,not sure,V6.5,Embryonic Stem Cell,Embryo,1.0
36824|PITX1,6.458362756547169e-05,Mus musculus,PITX1,tf,,Epithelium,Embryonic Hindlimb Bud,1.0
52671|C17orf96,7.718344470629586e-05,Mus musculus,C17orf96,not sure,E14,Embryonic Stem Cell,Embryo,1.0
56193|JARID2,8.001075591104986e-05,Mus musculus,JARID2,cr,,Embryonic Stem Cell,Embryo,1.0
47349|REST,8.908868959256014e-05,Mus musculus,REST,tf,,Embryonic Stem Cell,Embryo,1.0
36731|RARG,9.075500543230053e-05,Mus musculus,RARG,tf,F9,,Embryo,1.0
36070|SUZ12,9.128562162600342e-05,Mus musculus,SUZ12,cr,,Neural Progenitor Cell,,1.0
40167|SUZ12,9.369365227411612e-05,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
39689|SUZ12,9.527772081640048e-05,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
58628|RNF2,0.00010155734663621251,Mus musculus,RNF2,predicted transcription factor,,Embryonic Stem Cell,,1.0
48370|EZH2,0.0001022166954682936,Mus musculus,EZH2,cr,,Embryonic Stem Cell,Embryo,1.0
435|TET1,0.0001023908754621399,Mus musculus,TET1,cr,E14,Embryonic Stem Cell,Embryo,1.0
9024|NR3C1,0.00010925716400529341,Mus musculus,NR3C1,tf,AtT-20,Corticotroph,Brain,1.0
34028|KDM2B,0.0001099260704063075,Mus musculus,KDM2B,cr,,Embryonic Stem Cell,Embryo,1.0
50964|SUZ12,0.00011394382340240873,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,,1.0
5761|TBP,0.00011452338128611903,Mus musculus,TBP,tf,V6.5,Embryonic Stem Cell,Embryo,1.0
48371|EZH2,0.00011623941886547477,Mus musculus,EZH2,cr,,Embryonic Stem Cell,Embryo,1.0
34320|REST,0.00011734397528419454,Mus musculus,REST,tf,,Neural Progenitor Cell,,1.0
9025|NR3C1,0.00012418088620637794,Mus musculus,NR3C1,tf,AtT-20,Corticotroph,Brain,1.0
47758|KDM2B,0.00013099413916882485,Mus musculus,KDM2B,cr,MS12,Embryonic Stem Cell,Embryo,1.0
48516|OTX2,0.00013741964307274147,Mus musculus,OTX2,tf,,Embryonic Stem Cell,Embryo,1.0
53115|SMAD2/3,0.00013787985424538698,Mus musculus,SMAD2/3,tf,,,Endoderm,1.0
5762|TBP,0.00014438007849081337,Mus musculus,TBP,tf,V6.5,Embryonic Stem Cell,Embryo,1.0
52670|C17orf96,0.00016046788521083396,Mus musculus,C17orf96,not sure,E14,Embryonic Stem Cell,Embryo,1.0
55121|NR3C1,0.00016239130566588205,Mus musculus,NR3C1,tf,,,Epididymal White Adipose Tissue,1.0
91|TET1,0.00017273433478372309,Mus musculus,TET1,cr,,Embryonic Stem Cell,Embryo,1.0
50194|EZH2,0.0001781046562545036,Mus musculus,EZH2,cr,J1,Embryonic Stem Cell,Embryo,1.0
4606|TAF3,0.00017992918909264367,Mus musculus,TAF3,cr,,Embryonic Stem Cell,Embryo,1.0
40276|RBPJL,0.00018236913294188348,Mus musculus,RBPJL,tf,,,Pancreas,1.0
55426|NEUROD2,0.00018550820299463342,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0
36193|REST,0.00018795716745543533,Mus musculus,REST,tf,,Embryonic Stem Cell,Embryo,1.0
51020|JARID2,0.00019792907540233553,Mus musculus,JARID2,cr,E14,Embryonic Stem Cell,Embryo,1.0
5372|SS18,0.00019896599115671397,Mus musculus,SS18,not sure,C2C12,Myoblast,Muscle,1.0
37754|H2AZ,0.00020033464620876026,Mus musculus,H2AZ,predicted chromatin regulator,CMT1,Embryonic Stem Cell,Embryo,1.0
44552|KLF4,0.0002021732045043002,Mus musculus,KLF4,tf,CGR8,Embryonic Stem Cell,Embryo,1.0
9283|DMC1,0.0002032971496886153,Mus musculus,DMC1,not sure,,,Testis,1.0
53118|TCF12,0.00020529483283190177,Mus musculus,TCF12,tf,,,Endoderm,1.0
44218|SMARCA4,0.000214304409612948,Mus musculus,SMARCA4,cr,,Epithelium,Midbrain,1.0
51962|ASCL1,0.00021591153563601452,Mus musculus,ASCL1,tf,AtT-20,,,0.0
48366|SUZ12,0.00021980040214676606,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
50432|CHRM2,0.0002218052117779964,Mus musculus,CHRM2,predicted chromatin regulator,,,Limb Bud,0.0
39128|KAT8,0.00022770136079224628,Mus musculus,KAT8,cr,,Embryonic Stem Cell,Embryo,1.0
58851|MTA2,0.00022821771150767254,Mus musculus,MTA2,tf,,Thymocyte,Thymus,1.0
51763|SOX2,0.00022977332697166582,Mus musculus,SOX2,tf,,Multipotent progenitor cell,Otic,1.0
40277|PTF1A,0.00024234476587779534,Mus musculus,PTF1A,tf,,,Pancreas,0.0
35601|5HMC,0.0002479492689424441,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0
55120|NR3C1,0.0002533486447240158,Mus musculus,NR3C1,tf,,,Epididymal White Adipose Tissue,1.0
54219|EBF1,0.00026917623547752695,Mus musculus,EBF1,tf,,Pre-B Lymphocyte,,1.0
32844|REST,0.00026960720193408734,Mus musculus,REST,tf,,Embryonic Stem Cell,Embryo,1.0
39391|AR,0.00028050306245310555,Mus musculus,AR,tf,,Epithelium,Prostate,1.0
56196|SUZ12,0.0002826587490234373,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
42630|AR,0.00029592024391881844,Mus musculus,AR,tf,,,Caput Epididymis,1.0
48854|TBP,0.00031172804915243754,Mus musculus,TBP,tf,,Epithelium,Liver,1.0
5412|NOTCH1,0.0003170023539700594,Mus musculus,NOTCH1,both predicted transcription factor and chromatin regulator,,T Lymphocyte,Lymph Node,1.0
54374|STAT1,0.00032481308002887786,Mus musculus,STAT1,tf,,T Lymphocyte,Spleen,1.0
47759|KDM2B,0.000352418478301326,Mus musculus,KDM2B,cr,MS12,Embryonic Stem Cell,Embryo,1.0
58789|nan,0.00035743155617598663,,,,,,,
8831|PHF19,0.00036148963599507545,Mus musculus,PHF19,cr,E14,Embryonic Stem Cell,Embryo,1.0
38624|SUZ12,0.0003708933469916289,Mus musculus,SUZ12,cr,CMTi-1,Embryonic Stem Cell,Embryo,1.0
32775|BMI1,0.0003725213867876912,Mus musculus,BMI1,cr,,Neural Progenitor Cell,,1.0
51323|ZIC1/2,0.00039294966895580754,Mus musculus,ZIC1/2,other,,,Cerebellum,1.0
39108|CTCF,0.00039787596754859827,Mus musculus,CTCF,tf,,B Lymphocyte,,1.0
55109|PPARG,0.0003982477409859032,Mus musculus,PPARG,tf,,,Epididymal White Adipose Tissue,1.0
41324|EZH2,0.00040323562498718017,Mus musculus,EZH2,cr,,Embryonic Stem Cell,Embryo,1.0
2984|AFF4,0.00041120922592563757,Mus musculus,AFF4,tf,,Embryonic Stem Cell,Embryo,1.0
43422|AR,0.000419979644479691,Mus musculus,AR,tf,,Epithelium,Prostate,1.0
38622|SUZ12,0.00042063132793496914,Mus musculus,SUZ12,cr,CMTi-1,Embryonic Stem Cell,Embryo,1.0
37400|PR,0.0004264067194714745,Mus musculus,PR,predicted transcription factor,,,Uterus,1.0
51324|ZIC1/2,0.00043305888855381814,Mus musculus,ZIC1/2,other,,,Cerebellum,1.0
55698|EZH1,0.0004458261765973456,Mus musculus,EZH1,cr,,,Mammary Gland,1.0
54181|SOX9,0.0004519214576609717,Mus musculus,SOX9,tf,,Chondrocyte,Nasal septum ,1.0
58848|SUZ12,0.0004531776960344648,Mus musculus,SUZ12,cr,ILC87,T Lymphocyte,,1.0
9260|HDAC2,0.0004565435046073464,Mus musculus,HDAC2,cr,,Myoblast,Skeletal Muscle,1.0
1533|TBX5,0.0004606414279899372,Mus musculus,TBX5,tf,HL-1,Cardiomyocyte,Muscle,1.0
5775|nan,0.00047212340931561495,,,,,,,
47500|KDM1A,0.0004883443667951246,Mus musculus,KDM1A,cr,3T3-L1,Preadipocyte,Adipose,1.0
177|RXRG,0.0004907463154284853,Mus musculus,RXRG,tf,3T3-L1,Preadipocyte,Adipose,1.0
50030|NFATC1,0.0004977129889312584,Mus musculus,NFATC1,tf,,,Pancreas,1.0
47684|GATA4,0.0005043080058665695,Mus musculus,GATA4,tf,,Epithelium,Heart,1.0
32846|REST,0.0005097356616311739,Mus musculus,REST,tf,,Embryonic Stem Cell,Embryo,1.0
49976|SUZ12,0.0005097356616311739,Mus musculus,SUZ12,cr,,Leukemia Cell,Blood,1.0
32842|REST,0.0005150599679839744,Mus musculus,REST,tf,,Neural Progenitor Cell,,1.0
43423|AR,0.0005190076836147508,Mus musculus,AR,tf,,Epithelium,Prostate,1.0
44554|NANOG,0.0005295645811929268,Mus musculus,NANOG,tf,V6.5,Embryonic Stem Cell,Embryo,1.0
55118|NR3C1,0.000531181332741242,Mus musculus,NR3C1,tf,,,Adipose,1.0
51922|STAT1,0.0005319914197809165,Mus musculus,STAT1,tf,,Macrophage,Bone Marrow,1.0
41584|FOXA1,0.0005331274618501818,Mus musculus,FOXA1,tf,,Epithelium,Prostate,1.0
53110|SMAD2/3,0.0005357325618969574,Mus musculus,SMAD2/3,tf,,Embryonic Stem Cell,Embryo,1.0
55979|SMC1A,0.0005439495885729577,Mus musculus,SMC1A,predicted chromatin regulator,,,Brain,1.0
41767|H2AZ,0.0005459389438042731,Mus musculus,H2AZ,predicted chromatin regulator,,Epithelium,Liver,1.0
47110|POLR3A,0.0005477684282927473,Mus musculus,POLR3A,tf,,,Skin,1.0
8830|PHF19,0.0005588649277870748,Mus musculus,PHF19,cr,E14,Embryonic Stem Cell,Embryo,1.0
49557|FOS,0.0005593742185497048,Mus musculus,FOS,tf,,Cortical Neuron,Neuric,1.0
37750|RBBP5,0.0005598839383923858,Mus musculus,RBBP5,cr,CMTi-1,Embryonic Stem Cell,Embryo,1.0
51365|ZIC2,0.000565176247399593,Mus musculus,ZIC2,tf,,Embryonic Stem Cell,,1.0
58847|SUZ12,0.0005689600944004104,Mus musculus,SUZ12,cr,ILC87,T Lymphocyte,,1.0
2983|AFF4,0.0006147456714387732,Mus musculus,AFF4,tf,,Embryonic Stem Cell,Embryo,1.0
32994|TAF7L,0.0006156728853673796,Mus musculus,TAF7L,predicted transcription factor,10T1/2,Fibroblast,Embryo,1.0
58642|MED1,0.0006229496021177255,Mus musculus,MED1,predicted transcription factor,3T3-L1,Preadipocyte,Adipose,1.0
47292|FEZF2,0.0006282227983686649,Mus musculus,FEZF2,tf,,Neurosphere,,1.0
51966|LDB1,0.0006394693568246395,Mus musculus,LDB1,not sure,AtT-20,,,0.0
40274|PTF1A,0.000644871480175871,Mus musculus,PTF1A,tf,,,Pancreas,1.0
47518|KLF4,0.0006591542745648408,Mus musculus,KLF4,tf,J1,Embryonic Stem Cell,Embryo,1.0
32840|REST,0.000659549661044762,Mus musculus,REST,tf,,Neural Progenitor Cell,,1.0
52287|NR3C1,0.0006607371339622665,Mus musculus,NR3C1,tf,,Macrophage,Bone Marrow,1.0
58144|SIX4,0.0006689044785991567,Mus musculus,SIX4,tf,C2C12,Myoblast,Muscle,1.0
2648|TBP,0.0006701074822605422,Mus musculus,TBP,tf,RAW264.7,Macrophage,Blood,1.0
37876|MAFF,0.0006883937129048891,Mus musculus,MAFF,tf,,Dendritic Cell,Bone Marrow,1.0
1008|EZH2,0.0006952131867739885,Mus musculus,EZH2,cr,V6.5,Embryonic Stem Cell,Embryo,1.0
47109|POLR3A,0.0006989591047627989,Mus musculus,POLR3A,tf,,,Skin,1.0
5414|NR1H2,0.0007088280304747265,Mus musculus,NR1H2,tf,,Hepatocyte,Liver,1.0
39682|SUZ12,0.000711156255325606,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
44556|NANOG,0.0007141296469247168,Mus musculus,NANOG,tf,V6.5,Embryonic Stem Cell,Embryo,1.0
58499|RNF2,0.0007246270006896823,Mus musculus,RNF2,predicted transcription factor,,,Forelimb Bud,1.0
34024|RNF2,0.0007420716197304825,Mus musculus,RNF2,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
48142|RXRA,0.0007487125161684394,Mus musculus,RXRA,tf,IDG-SW3,Osteocytic Cell,Bone,1.0
32841|REST,0.0007509382872310377,Mus musculus,REST,tf,,Embryonic Stem Cell,Embryo,1.0
52041|EZH1,0.0007710178891707681,Mus musculus,EZH1,cr,,,Mammary Gland,0.0
41346|EZH2,0.0007719318494290984,Mus musculus,EZH2,cr,,Embryonic Stem Cell,Embryo,1.0
8595|GATA2,0.000773533681103825,Mus musculus,GATA2,tf,G1ME,Megakaryocyte,Bone Marrow,1.0
44716|ETS1,0.0007795101792540366,Mus musculus,ETS1,tf,,Thymocyte,,1.0
52987|KDM3A,0.0007908893050295569,Mus musculus,KDM3A,cr,,Adipocyte,,1.0
47305|SUZ12,0.000806220089169777,Mus musculus,SUZ12,cr,,Th17,Blood,1.0
41946|ESR1,0.0008102745575808837,Mus musculus,ESR1,tf,,,Uterus,1.0
59295|ATF4,0.0008105136391448735,Mus musculus,ATF4,tf,,Embryonic Fibroblast,Embryo,1.0
436|TET1,0.000813867605384797,Mus musculus,TET1,cr,E14,Embryonic Stem Cell,Embryo,1.0
59458|AFF3,0.0008160304665448296,Mus musculus,AFF3,tf,,Embryonic Fibroblast,,1.0
39642|RELA,0.0008169934350355127,Mus musculus,RELA,tf,,Dendritic Cell,Bone Marrow,1.0
41637|POLR3GL,0.0008181986162400567,Mus musculus,POLR3GL,tf,,Epithelium,Liver,1.0
47394|RUNX3,0.0008274115967559474,Mus musculus,RUNX3,tf,,Dendritic Cell,Blood,1.0
53951|YY1,0.0008327889595440512,Mus musculus,YY1,tf,,Embryonic Stem Cell,Embryo,1.0
44273|SREBF1,0.0008372125155034606,Mus musculus,SREBF1,tf,,Epithelium,Liver,1.0
43681|KDM4C,0.00084388839287219,Mus musculus,KDM4C,cr,,Embryonic Stem Cell,Embryo,1.0
432|SUZ12,0.0008446331719474016,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
51896|SMARCA4,0.0008496138379359402,Mus musculus,SMARCA4,cr,,Embryonic Stem Cell,,1.0
33698|STAT5A,0.0008536178058545611,Mus musculus,STAT5A,tf,,Epithelium,Mammary Gland,1.0
34022|RNF2,0.000860161284867534,Mus musculus,RNF2,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
37756|RBBP5,0.0008644646211982375,Mus musculus,RBBP5,cr,CMTi-1,Embryonic Stem Cell,Embryo,1.0
48367|SUZ12,0.0008798116032604525,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
