,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
48944|SUZ12,1.1248823614063364e-06,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
51021|JARID2,1.2170979213073158e-06,Mus musculus,JARID2,cr,E14,Embryonic Stem Cell,Embryo,1.0
44342|KLF5,1.385964010054062e-06,Mus musculus,KLF5,tf,CGR8,Embryonic Stem Cell,Embryo,1.0
56642|RNF2,1.493577305817997e-06,Mus musculus,RNF2,predicted transcription factor,E14Tg2A,Embryonic Stem Cell,,1.0
55110|PPARG,1.6179528953355389e-06,Mus musculus,PPARG,tf,,,Epididymal White Adipose Tissue,1.0
59428|HEY1,1.696150777908136e-06,Mus musculus,HEY1,tf,,Embryonic Stem Cell,Embryo,1.0
56133|RBFOX2,1.8488946478465308e-06,Mus musculus,RBFOX2,other,,,Heart,1.0
9078|SUZ12,1.9759054081894895e-06,Mus musculus,SUZ12,cr,TNGA,Embryonic Stem Cell,Embryo,1.0
44006|H2AZ,2.474310039862939e-06,Mus musculus,H2AZ,predicted chromatin regulator,V6.5,Embryonic Stem Cell,Embryo,1.0
41583|AR,2.581147140308598e-06,Mus musculus,AR,tf,,Epithelium,Prostate,0.0
8980|MEN1,2.7751361708187175e-06,Mus musculus,MEN1,tf,3.2N,Embryonic Stem Cell,Embryo,1.0
4603|SUZ12,3.280860756953963e-06,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
43058|H2AZ,3.6070091246007725e-06,Mus musculus,H2AZ,predicted chromatin regulator,,Fibroblast,Embryo,1.0
41582|AR,3.8959869923935144e-06,Mus musculus,AR,tf,,Epithelium,Prostate,0.0
39698|SUZ12,4.393256367594097e-06,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
34039|NANOG,4.611261878267407e-06,Mus musculus,NANOG,tf,,Embryonic Stem Cell,Embryo,1.0
47760|KDM2B,6.576423125585439e-06,Mus musculus,KDM2B,cr,MS12,Embryonic Stem Cell,Embryo,1.0
44793|KLF5,6.675452323844736e-06,Mus musculus,KLF5,tf,3T3-L1,Preadipocyte,Adipose,1.0
54539|EZH2,7.094319072309427e-06,Mus musculus,EZH2,cr,,Embryonic Stem Cell,,1.0
48948|SUZ12,7.363309663860659e-06,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41316|KDM4C,7.949328281701249e-06,Mus musculus,KDM4C,cr,,Embryonic Stem Cell,Embryo,1.0
52671|C17orf96,8.35900253534644e-06,Mus musculus,C17orf96,not sure,E14,Embryonic Stem Cell,Embryo,1.0
48946|SUZ12,8.463699052577248e-06,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
9033|TET1,8.75129878316076e-06,Mus musculus,TET1,cr,P19.6,,Embryo,1.0
36072|SUZ12,9.079814833629383e-06,Mus musculus,SUZ12,cr,,Neural Progenitor Cell,,1.0
36201|SUZ12,9.12213779726373e-06,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
457|TET1,9.150457443643539e-06,Mus musculus,TET1,cr,E14,Embryonic Stem Cell,Embryo,1.0
4405|MTF2,9.783754692402912e-06,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0
48949|SUZ12,1.0141231650899556e-05,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
37758|H2AZ,1.020397363283413e-05,Mus musculus,H2AZ,predicted chromatin regulator,R1,Embryonic Stem Cell,Embryo,1.0
34887|KDM2B,1.0247322957903537e-05,Mus musculus,KDM2B,cr,E14,Embryonic Stem Cell,Embryo,1.0
41898|EZH2,1.0342512739369377e-05,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
48947|SUZ12,1.0438544036835195e-05,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
43660|UTF1,1.1407290006207943e-05,Mus musculus,UTF1,tf,KH2,Embryonic Stem Cell,Embryo,1.0
44801|CEBPB,1.208153070636352e-05,Mus musculus,CEBPB,tf,3T3-L1,Preadipocyte,Adipose,1.0
2907|NELFA,1.5091173117481859e-05,Mus musculus,NELFA,not sure,V6.5,Embryonic Stem Cell,Embryo,1.0
458|TET1,1.8100306527918512e-05,Mus musculus,TET1,cr,E14,Embryonic Stem Cell,Embryo,1.0
48945|SUZ12,1.8832983266244584e-05,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
2165|JARID2,1.965967715933657e-05,Mus musculus,JARID2,cr,LF2,Embryonic Stem Cell,Embryo,1.0
41904|SUZ12,2.0452078572015142e-05,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38475|CBX7,2.107008581049728e-05,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0
41581|AR,2.1369807451220298e-05,Mus musculus,AR,tf,,Epithelium,Prostate,1.0
37400|PR,2.181078706454278e-05,Mus musculus,PR,predicted transcription factor,,,Uterus,1.0
4606|TAF3,2.266833588113697e-05,Mus musculus,TAF3,cr,,Embryonic Stem Cell,Embryo,1.0
44806|MED1,2.2786188023160292e-05,Mus musculus,MED1,predicted transcription factor,3T3-L1,Preadipocyte,Adipose,1.0
58789|nan,2.296405628029581e-05,,,,,,,
40272|FOXA2,2.3015117122780467e-05,Mus musculus,FOXA2,tf,,,Pancreas,1.0
53116|TCF12,2.3531681739897772e-05,Mus musculus,TCF12,tf,,,Endoderm,1.0
55118|NR3C1,2.823310746759806e-05,Mus musculus,NR3C1,tf,,,Adipose,1.0
58294|NRF1,3.1352996738135924e-05,Mus musculus,NRF1,tf,,Embryonic Stem Cell,Embryo,1.0
51763|SOX2,3.4011933175872265e-05,Mus musculus,SOX2,tf,,Multipotent progenitor cell,Otic,1.0
48951|SUZ12,3.5101068027324084e-05,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
8830|PHF19,3.5638589044447794e-05,Mus musculus,PHF19,cr,E14,Embryonic Stem Cell,Embryo,1.0
38990|TBX3,3.9256207715277465e-05,Mus musculus,TBX3,tf,,Epithelium,Heart,1.0
44556|NANOG,3.952544095086223e-05,Mus musculus,NANOG,tf,V6.5,Embryonic Stem Cell,Embryo,1.0
48943|SUZ12,4.363866295657865e-05,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
36202|SUZ12,4.521020780772341e-05,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
51326|ZIC1/2,4.660202062402927e-05,Mus musculus,ZIC1/2,other,,,Cerebellum,1.0
39889|CEBPB,4.8291248477844e-05,Mus musculus,CEBPB,tf,,Epithelium,Liver,1.0
41603|AR,4.956071489668029e-05,Mus musculus,AR,tf,,,Caput Epididymis,1.0
39131|nan,5.496050601664235e-05,,,,,,,
34917|KDM2B,5.509652403576381e-05,Mus musculus,KDM2B,cr,E14,Embryonic Stem Cell,Embryo,1.0
5761|TBP,5.659387634215745e-05,Mus musculus,TBP,tf,V6.5,Embryonic Stem Cell,Embryo,1.0
44217|SMARCA4,5.731646950010705e-05,Mus musculus,SMARCA4,cr,,Epithelium,Midbrain,1.0
8304|KDM1A,6.033715121544124e-05,Mus musculus,KDM1A,cr,V6.5,Embryonic Stem Cell,Embryo,1.0
58796|SUZ12,6.683434503586628e-05,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
39887|CEBPA,6.956971364562611e-05,Mus musculus,CEBPA,tf,,Epithelium,Liver,1.0
48950|SUZ12,7.309285472080559e-05,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
39868|CEBPB,7.339815960474353e-05,Mus musculus,CEBPB,tf,,Epithelium,Liver,1.0
42066|CEBPB,7.62004546063218e-05,Mus musculus,CEBPB,tf,,Preadipocyte,Adipose,1.0
44552|KLF4,7.780049521473438e-05,Mus musculus,KLF4,tf,CGR8,Embryonic Stem Cell,Embryo,1.0
434|TET1,8.388412618023546e-05,Mus musculus,TET1,cr,E14,Embryonic Stem Cell,Embryo,1.0
44218|SMARCA4,9.178768810238693e-05,Mus musculus,SMARCA4,cr,,Epithelium,Midbrain,1.0
43422|AR,0.00010042164821956004,Mus musculus,AR,tf,,Epithelium,Prostate,1.0
41580|AR,0.00010176512904454346,Mus musculus,AR,tf,,Epithelium,Prostate,1.0
38624|SUZ12,0.00010214710129379998,Mus musculus,SUZ12,cr,CMTi-1,Embryonic Stem Cell,Embryo,1.0
47758|KDM2B,0.00010811410854592555,Mus musculus,KDM2B,cr,MS12,Embryonic Stem Cell,Embryo,1.0
41903|SUZ12,0.00011120006281261412,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
37598|NR3C1,0.00011596480816695881,Mus musculus,NR3C1,tf,,Epithelium,Liver,1.0
55425|NEUROD2,0.00011620015130219162,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0
44753|ESR1,0.00012527178532335755,Mus musculus,ESR1,tf,,,Uterus,1.0
55106|PPARG,0.00012846918243482555,Mus musculus,PPARG,tf,,,Epididymal White Adipose Tissue,1.0
48516|OTX2,0.00013374463874037324,Mus musculus,OTX2,tf,,Embryonic Stem Cell,Embryo,1.0
54700|KDM1A,0.00013378944207824962,Mus musculus,KDM1A,cr,,Cortical Neuron,Neuric,1.0
8910|NKX2-5,0.0001338342594850885,Mus musculus,NKX2-5,tf,,Myocyte,Heart,1.0
53118|TCF12,0.00013931570457571046,Mus musculus,TCF12,tf,,,Endoderm,1.0
51323|ZIC1/2,0.00013982855937542845,Mus musculus,ZIC1/2,other,,,Cerebellum,1.0
39791|T,0.00014690307249263528,Mus musculus,T,tf,,,Testis,1.0
44797|RXRA,0.00014754024251094,Mus musculus,RXRA,tf,3T3-L1,Preadipocyte,Adipose,1.0
52892|CREBBP,0.000154363019991573,Mus musculus,CREBBP,cr,,Cortical Neuron,,1.0
55092|HRAS,0.0001576226988142301,Mus musculus,HRAS,other,,Embryonic Fibroblast,,1.0
44554|NANOG,0.00016073374561047758,Mus musculus,NANOG,tf,V6.5,Embryonic Stem Cell,Embryo,1.0
55120|NR3C1,0.00016762644170806334,Mus musculus,NR3C1,tf,,,Epididymal White Adipose Tissue,1.0
52043|EZH2,0.00017256364680615926,Mus musculus,EZH2,cr,,,Mammary Gland,1.0
48854|TBP,0.00017427764702488208,Mus musculus,TBP,tf,,Epithelium,Liver,1.0
5412|NOTCH1,0.0001781632408622057,Mus musculus,NOTCH1,both predicted transcription factor and chromatin regulator,,T Lymphocyte,Lymph Node,1.0
51892|MED1,0.00018326949887006235,Mus musculus,MED1,predicted transcription factor,,,Adipose,1.0
35901|H2AZ,0.00019747701409118172,Mus musculus,H2AZ,predicted chromatin regulator,,B Lymphocyte,,1.0
51324|ZIC1/2,0.00020138332897570035,Mus musculus,ZIC1/2,other,,,Cerebellum,1.0
43057|H2AZ,0.00020995929515318676,Mus musculus,H2AZ,predicted chromatin regulator,,Fibroblast,Embryo,1.0
40393|PPARG,0.00022266962959521908,Mus musculus,PPARG,tf,3T3-L1,Preadipocyte,Adipose,0.0
177|RXRG,0.00022542774192276514,Mus musculus,RXRG,tf,3T3-L1,Preadipocyte,Adipose,1.0
48366|SUZ12,0.0002265985635696023,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
404|DPY30,0.00023111458055727615,Mus musculus,DPY30,cr,E14,Embryonic Stem Cell,Embryo,1.0
49584|FOS,0.00023893108634490863,Mus musculus,FOS,tf,,Cortical Neuron,Neuric,1.0
47305|SUZ12,0.0002400123612305572,Mus musculus,SUZ12,cr,,Th17,Blood,1.0
35602|5HMC,0.0002474710139404553,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0
58144|SIX4,0.00024755066327671944,Mus musculus,SIX4,tf,C2C12,Myoblast,Muscle,1.0
48514|OTX2,0.0002502730063161775,Mus musculus,OTX2,tf,,Embryonic Stem Cell,Embryo,1.0
9080|EZH2,0.0002546541615109229,Mus musculus,EZH2,cr,TNGA,Embryonic Stem Cell,Embryo,1.0
48487|POU5F1,0.0002562126078167656,Mus musculus,POU5F1,tf,,Embryonic Stem Cell,Embryo,1.0
51762|MYC,0.00025645948945308836,Mus musculus,MYC,tf,,Multipotent progenitor cell,Otic,1.0
51325|ZIC1/2,0.0002576145385223057,Mus musculus,ZIC1/2,other,,,Cerebellum,1.0
4621|TBP,0.0002607741606190718,Mus musculus,TBP,tf,,Embryonic Stem Cell,Embryo,1.0
58628|RNF2,0.00026660388630290853,Mus musculus,RNF2,predicted transcription factor,,Embryonic Stem Cell,,1.0
58500|RNF2,0.0002707307249254477,Mus musculus,RNF2,predicted transcription factor,,,Forelimb Bud,1.0
1533|TBX5,0.00027500486835529227,Mus musculus,TBX5,tf,HL-1,Cardiomyocyte,Muscle,1.0
52802|FGFR1,0.0002876571876234577,Mus musculus,FGFR1,not sure,,Embryonic Stem Cell,Embryo,1.0
54374|STAT1,0.0002925516244010572,Mus musculus,STAT1,tf,,T Lymphocyte,Spleen,1.0
4498|PRDM14,0.0003015192149821476,Mus musculus,PRDM14,tf,,Embryonic Stem Cell,Embryo,1.0
55978|SMC1A,0.00030305448616472824,Mus musculus,SMC1A,predicted chromatin regulator,R1,Embryonic Stem Cell,Embryo,1.0
37573|ISL1,0.0003057587293694829,Mus musculus,ISL1,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0
40276|RBPJL,0.0003057587293694829,Mus musculus,RBPJL,tf,,,Pancreas,1.0
37609|NR3C1,0.00030624398656059243,Mus musculus,NR3C1,tf,,Epithelium,Liver,1.0
57748|FOXD3,0.00031311326932319716,Mus musculus,FOXD3,tf,,Embryonic Stem Cell,,1.0
39678|SUZ12,0.000319316932013019,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
37754|H2AZ,0.0003197210684995429,Mus musculus,H2AZ,predicted chromatin regulator,CMT1,Embryonic Stem Cell,Embryo,1.0
54181|SOX9,0.00032522368173600275,Mus musculus,SOX9,tf,,Chondrocyte,Nasal septum ,1.0
4602|SUZ12,0.0003290447005683316,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
55979|SMC1A,0.0003450755022703515,Mus musculus,SMC1A,predicted chromatin regulator,,,Brain,1.0
53115|SMAD2/3,0.00034627122629728245,Mus musculus,SMAD2/3,tf,,,Endoderm,1.0
2864|NIPBL,0.0003577681055507381,Mus musculus,NIPBL,not sure,V6.5,Embryonic Stem Cell,Embryo,1.0
2887|RNF2,0.0003579926356194767,Mus musculus,RNF2,predicted transcription factor,V6.5,Embryonic Stem Cell,Embryo,1.0
5877|E2F4,0.0003599064339376739,Mus musculus,E2F4,tf,,Fibroblast,Embryo,0.0
47684|GATA4,0.0003613763355320847,Mus musculus,GATA4,tf,,Epithelium,Heart,1.0
51036|TDG,0.00038386512325538837,Mus musculus,TDG,other,E14,Embryonic Stem Cell,Embryo,1.0
41417|CREB1,0.00038458464795927406,Mus musculus,CREB1,tf,3T3-L1,Preadipocyte,Adipose,1.0
52111|INSM1,0.0003851852081604226,Mus musculus,INSM1,tf,,Beta cell,Pancreatic Islet,1.0
47767|RNF2,0.00039172697122502115,Mus musculus,RNF2,predicted transcription factor,MS12,Embryonic Stem Cell,Embryo,1.0
44553|KLF5,0.00040688802205502165,Mus musculus,KLF5,tf,CGR8,Embryonic Stem Cell,Embryo,1.0
53949|YY1,0.0004124882471554781,Mus musculus,YY1,tf,,Embryonic Stem Cell,Embryo,1.0
36206|MBD4,0.00041325743069984817,Mus musculus,MBD4,cr,,Embryonic Stem Cell,Embryo,0.0
51926|STAT1,0.0004221991964273913,Mus musculus,STAT1,tf,,Macrophage,Bone Marrow,1.0
49556|FOS,0.0004223300965425855,Mus musculus,FOS,tf,,Cortical Neuron,Neuric,1.0
55101|PPARG,0.00042364116957502583,Mus musculus,PPARG,tf,,,Epididymal White Adipose Tissue,1.0
5762|TBP,0.00042548301429108204,Mus musculus,TBP,tf,V6.5,Embryonic Stem Cell,Embryo,1.0
48362|RNF2,0.0004329249069156867,Mus musculus,RNF2,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
55099|HRAS,0.0004408959039344598,Mus musculus,HRAS,other,,Embryonic Fibroblast,,1.0
48501|POU5F1,0.00044541337636496293,Mus musculus,POU5F1,tf,,Stem cell,Ectoderm,1.0
2765|STAT5B,0.0004498348964613789,Mus musculus,STAT5B,tf,,T Lymphocyte,Lymph Node,0.0
44732|RUNX1,0.0004588002305622137,Mus musculus,RUNX1,tf,,Thymocyte,,0.0
43180|KMT2B,0.00046577591925333944,Mus musculus,KMT2B,cr,E14,Embryonic Stem Cell,Embryo,1.0
46466|E2F4,0.0004698060164653099,Mus musculus,E2F4,tf,MEL,Erythroid Progenitor Cell,Blood,1.0
42064|CEBPB,0.00047139808865649457,Mus musculus,CEBPB,tf,,Preadipocyte,Adipose,1.0
37600|CEBPB,0.0004792864587103777,Mus musculus,CEBPB,tf,,Epithelium,Liver,1.0
37750|RBBP5,0.0004814992708941426,Mus musculus,RBBP5,cr,CMTi-1,Embryonic Stem Cell,Embryo,1.0
39689|SUZ12,0.0005021519613267006,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
47764|RNF2,0.0005021519613267006,Mus musculus,RNF2,predicted transcription factor,MS12,Embryonic Stem Cell,Embryo,1.0
5806|E2F3,0.0005043080053118523,Mus musculus,E2F3,tf,,Fibroblast,Embryo,1.0
51890|PRDM16,0.0005070926536227946,Mus musculus,PRDM16,tf,,,Adipose,1.0
53918|NR1D1,0.0005088013824383978,Mus musculus,NR1D1,tf,,,Epididymal White Adipose Tissue,1.0
54170|SOX9,0.0005332899360731552,Mus musculus,SOX9,tf,,Chondrocyte,,1.0
53951|YY1,0.0005396622973515169,Mus musculus,YY1,tf,,Embryonic Stem Cell,Embryo,1.0
59139|OLIG2,0.0005434532978372697,Mus musculus,OLIG2,tf,CD-1,Neural Stem Cell,Brain,1.0
44066|RUNX2,0.000547935025303823,Mus musculus,RUNX2,tf,MC3T3,,,1.0
51931|STAT1,0.0005514444174907857,Mus musculus,STAT1,tf,,Macrophage,Bone Marrow,1.0
39593|RELA,0.0005544689989243146,Mus musculus,RELA,tf,,Dendritic Cell,Bone Marrow,1.0
42630|AR,0.0005578476315896174,Mus musculus,AR,tf,,,Caput Epididymis,1.0
35036|POLR2B,0.0005717266761189919,Mus musculus,POLR2B,tf,,Epithelium,Liver,1.0
47759|KDM2B,0.0005825650481480215,Mus musculus,KDM2B,cr,MS12,Embryonic Stem Cell,Embryo,1.0
51886|PRDM16,0.0005861016004377853,Mus musculus,PRDM16,tf,,,Adipose,1.0
41593|AR,0.000586811287277747,Mus musculus,AR,tf,,Epithelium,Kidney,1.0
20|CREB1,0.0006015360014260544,Mus musculus,CREB1,tf,,Cortical Neuron,Neuric,0.0
51761|MYC,0.0006169731541539278,Mus musculus,MYC,tf,,Multipotent progenitor cell,Otic,1.0
55765|CEBPA,0.0006216377039816402,Mus musculus,CEBPA,tf,,,Liver,1.0
48370|EZH2,0.0006274669690546506,Mus musculus,EZH2,cr,,Embryonic Stem Cell,Embryo,1.0
55091|HRAS,0.000636209908387388,Mus musculus,HRAS,other,,Embryonic Fibroblast,,1.0
40390|CEBPA,0.0006452589527510242,Mus musculus,CEBPA,tf,3T3-L1,Preadipocyte,Adipose,0.0
3247|ETS1,0.000651878962770943,Mus musculus,ETS1,tf,,Th2,Blood,0.0
34435|CEBPB,0.0006526618948145132,Mus musculus,CEBPB,tf,C2C12,Myoblast,Muscle,1.0
6030|MAPK8,0.0006579694263792303,Mus musculus,MAPK8,not sure,,Neuron,Brain,1.0
4415|PAXIP1,0.0006639133791540472,Mus musculus,PAXIP1,predicted transcription factor,,B Lymphocyte,Spleen,1.0
48535|MYC,0.0006663048024244079,Mus musculus,MYC,tf,,,Pancreas,1.0
54659|MEIS1,0.0006711115090435307,Mus musculus,MEIS1,tf,,,optic cups,1.0
37616|CEBPB,0.0006725194792413497,Mus musculus,CEBPB,tf,,Epithelium,Liver,1.0
41985|KMT2B,0.0006783815774917044,Mus musculus,KMT2B,cr,,Preadipocyte,Adipose,1.0
56196|SUZ12,0.0006851095565718661,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
8303|KDM1A,0.000688599453222494,Mus musculus,KDM1A,cr,V6.5,Embryonic Stem Cell,Embryo,1.0
43701|RUNX2,0.0007050333604395499,Mus musculus,RUNX2,tf,MC3T3,Osteoblast,,1.0
55426|NEUROD2,0.0007054540635018618,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0
37626|CEBPB,0.0007071391913677682,Mus musculus,CEBPB,tf,,Epithelium,Liver,1.0
40281|RBPJL,0.0007250584691547105,Mus musculus,RBPJL,tf,,,Pancreas,1.0
33794|POU5F1,0.0007276522609381371,Mus musculus,POU5F1,tf,KH2,Embryonic Stem Cell,Embryo,1.0
39114|CTCF,0.0007346109051903058,Mus musculus,CTCF,tf,,B Lymphocyte,,1.0
44860|SMARCA4,0.0007476019105879485,Mus musculus,SMARCA4,cr,,Epithelium,Limb,1.0
49571|FOSB,0.0007489348186814854,Mus musculus,FOSB,tf,,Cortical Neuron,Neuric,1.0
49339|MED1,0.0007612555620752667,Mus musculus,MED1,predicted transcription factor,,iPSC,,1.0
37647|JUN,0.0007691929569449839,Mus musculus,JUN,tf,,Macrophage,Bone Marrow,1.0
40067|BATF,0.0007696488164745715,Mus musculus,BATF,predicted transcription factor,,Th0,,1.0
47780|GRHL3,0.0007925273206083274,Mus musculus,GRHL3,predicted transcription factor,,,Skin,1.0
41602|AR,0.0008012374104384966,Mus musculus,AR,tf,,,Caput Epididymis,1.0
8273|HDAC2,0.0008071723973944139,Mus musculus,HDAC2,cr,V6.5,Embryonic Stem Cell,Embryo,1.0
37632|CEBPB,0.0008112312726256401,Mus musculus,CEBPB,tf,,Epithelium,Liver,1.0
40277|PTF1A,0.0008131478240625046,Mus musculus,PTF1A,tf,,,Pancreas,0.0
39869|CEBPA,0.0008165118193162896,Mus musculus,CEBPA,tf,,Epithelium,Liver,1.0
47765|RNF2,0.0008203720652631514,Mus musculus,RNF2,predicted transcription factor,MS12,Embryonic Stem Cell,Embryo,1.0
39127|KAT8,0.0008296075528917322,Mus musculus,KAT8,cr,,Embryonic Stem Cell,Embryo,1.0
34028|KDM2B,0.0008330341465575672,Mus musculus,KDM2B,cr,,Embryonic Stem Cell,Embryo,1.0
8918|SMAD3,0.0008347523220483704,Mus musculus,SMAD3,tf,,Cortex,,1.0
41607|TFAP2A,0.0008687877468827542,Mus musculus,TFAP2A,predicted transcription factor,,,Caput Epididymis,1.0
55100|HRAS,0.0008723628862667194,Mus musculus,HRAS,other,,Embryonic Fibroblast,,1.0
35236|MBD1,0.0008764653212080095,Mus musculus,MBD1,cr,,Embryonic Stem Cell,Embryo,0.0
48513|POU5F1,0.0008826522410053146,Mus musculus,POU5F1,tf,,Embryonic Stem Cell,Embryo,1.0
57234|EZH2,0.0008855013091664292,Mus musculus,EZH2,cr,,Th2,Spleen,0.0
